name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
25fv47,SCS_ALT,optimal,0.49370384216308594,2050,5507.588513535215,1571,2392,11971,9.464095,483.275542,0.03130728376262273,1
80bau3b,SCS_ALT,optimal,0.47891688346862793,500,987872.7361213121,9799,12061,30801,26.733323,449.25083,0.03159025758913582,1
adlittle,SCS_ALT,optimal,0.037100791931152344,4925,225440.6733116033,97,153,480,0.540807,36.099797,0.1,0
afiro,SCS_ALT,optimal,0.005198955535888672,1625,-462.5940271396609,32,59,115,0.240411,4.527054,0.020628564779987826,1
agg,SCS_ALT,max_iter_reached,3.5772531032562256,100000,-inf,163,651,2573,1.825544,3574.981887,1e-09,7
agg2,SCS_ALT,optimal,3.941527843475342,53150,-20242659.442202087,302,818,4586,2.828849,3937.637204,7.82647104589203e-05,6
agg3,SCS_ALT,optimal,2.61403226852417,35100,10323041.088947117,302,818,4602,2.793165,2610.743251,0.0006616364829449275,4
bandm,SCS_ALT,optimal,0.07628989219665527,1525,-159.12962677212582,472,777,2966,2.404472,73.3964,0.00708268884850509,2
beaconfd,SCS_ALT,optimal,0.03405904769897461,1100,33597.228364654475,262,435,3637,1.700269,31.918003,0.0022577982837296492,3
blend,SCS_ALT,optimal,0.03839993476867676,5175,-30.75209674238494,83,157,574,0.442443,37.641961,0.1,0
bnl1,SCS_ALT,optimal,0.6561942100524902,5600,1951.615404593421,1175,1818,6296,4.213164,651.363701,0.1,0
bnl2,SCS_ALT,optimal,2.474112033843994,4375,1820.798819875907,3489,5813,17488,21.309381,2451.307536,0.1,0
boeing1,SCS_ALT,optimal,4.466068267822266,78950,-341.67409961516216,384,735,3869,2.084513,4463.323264,0.000379422180935827,11
boeing2,SCS_ALT,max_iter_reached,1.706913948059082,100000,-29655.268201965293,143,309,1339,1.342026,1704.123371,1e-09,7
bore3d,SCS_ALT,optimal,0.052865028381347656,1675,1414.7708356873886,315,548,1744,1.19704,51.270957,0.023005509466422835,4
brandy,SCS_ALT,optimal,0.11067008972167969,3225,1510.2588375717276,249,469,2397,1.504953,108.568503,0.0018221741864087515,2
capri,SCS_ALT,max_iter_reached,4.348285913467407,100000,2472.3772152128886,353,610,2106,1.329149,4346.272596,0.00014781806831264805,3
cycle,SCS_ALT,optimal,1.659883975982666,3250,-4.6494913690389685,2857,4753,23570,17.737409,1640.229477,0.0009438348139970639,4
czprob,SCS_ALT,optimal,1.3572120666503906,6000,2175502.4828849314,3523,4452,14192,16.620636,1339.068841,0.00848621680181201,2
d2q06c,SCS_ALT,optimal,6.420483112335205,4925,120741.53574866305,5167,7338,37584,39.429793,6378.099832,0.00052687806564137,3
d6cube,SCS_ALT,optimal,0.22376680374145508,225,313.837368847982,6184,6599,43888,35.945556,184.381632,0.0001767002907282295,2
degen2,SCS_ALT,optimal,0.13210391998291016,1200,-1435.1767439604314,534,978,4512,4.897286,126.558667,0.1,0
degen3,SCS_ALT,optimal,0.329362154006958,375,-987.307076086991,1818,3321,26464,33.825569,293.932228,0.1,0
dfl001,SCS_ALT,optimal,29.736194133758545,2300,11275280.187433926,12230,18301,47862,2255.670912,27465.954364,851.6717613965824,2
e226,SCS_ALT,optimal,0.10957884788513184,1800,-18.681902020178587,282,505,2860,2.03781,106.673597,0.1,0
etamacro,SCS_ALT,optimal,0.10662579536437988,950,-755.6008889713316,688,1088,3097,3.1771,102.676316,0.1,0
fffff800,SCS_ALT,optimal,9.470344066619873,70250,530441.8397510423,854,1378,7081,5.09143,9464.468784,1.582893488262702e-05,5
finnis,SCS_ALT,optimal,0.11859393119812012,2075,173500.1304147063,614,1111,2924,2.19416,115.832078,0.1,0
fit1d,SCS_ALT,optimal,0.04449796676635742,450,-9148.472165168096,1026,1050,14430,5.273655,38.61412,0.1,0
